Quel est le plus petit nombre premier ?,2,facile
Quel est le continent où se trouve la France ?,europe,facile
Quel nombre vient après 9 ?,10,facile
Comment s'appelle la figure à trois côtés ?,triangle,facile
Quel est le résultat de 15 + 401 ?,416,facile
Quelle est la planète bleue ?,terre,facile
Quel est le contraire de rapide ?,lent,facile
Quel est le satellite naturel de la Terre ?,lune,facile
Quelle figure géométrique est sans côté ?,cercle,facile
Quel est le résultat de 7 x 8 ?,56,facile
Quelle est la capitale de l'Italie ?,rome,facile
Combien de côtés a un hexagone ?,6,facile
Quel est le contraire de chaud ?,froid,facile
Quelle est la formule chimique de l'eau ?,h2o,facile
En quelle année a commencé la Révolution française ?,1789,facile
Quel est le plus grand océan du monde ?,pacifique,facile
Quel animal est le symbole de la France ?,coq,facile
Quel est le résultat de 12 x 12 ?,144,facile
Quelle est la capitale de la France ?,paris,facile
Quel organe permet de respirer ?,poumons,facile
Comment s'appelait le roi Soleil ?,louisxiv,facile
Quel est le résultat de 100 divisé par 4 ?,25,facile
Quelle est la valeur de pi arrondie à deux décimales ?,3.14,facile
Quel fleuve traverse Paris ?,seine,facile
Quel est l'état de l'eau à zéro degré ?,solide,facile
Quelle note vient après sol ?,la,facile
Quelle couleur obtient-on en mélangeant rouge et bleu ?,violet,facile
Quel est le plus petit nombre entier positif ?,1,facile
Quel animal miaule ?,chat,facile
Quelle est la fraction simplifié de 3/6 ?,1/2,facile
Combien de jours y a-t-il dans une semaine ?,7,facile
Quelle saison vient après l'hiver ?,printemps,facile
Quelle est la capitale de l'Espagne ?,madrid,facile
Combien y'a t'il de doigts sur 3 mains ?,15,facile
Combien de continents y a-t-il sur Terre ?,7,facile
Combien de minutes y a-t-il dans une heure ?,60,facile
Quel est le résultat de 5 x 5 ?,25,facile
Quel animal a une longue trompe ?,elephant,facile
Quel est le contraire de haut ?,bas,facile
Quelle est la planète la plus proche du Soleil ?,mercure,moyen
Quelle est l'unité de mesure de la tension électrique ?,volt,moyen
Quel métal sert à fabriquer des canettes ?,aluminium,moyen
Quelle est la plus grande planète du système solaire ?,jupiter,moyen
Quelle est la note de musique la plus grave ?,do,moyen
Comment s'appelle un angle plus grand que 90 degrés ?,obtus,moyen
Quel est le symbole chimique du fer ?,fe,moyen
Quel est le symbole chimique de l'oxygène ?,o,moyen
Combien de faces a un cube ?,6,moyen
Quelle est la capitale du Canada ?,ottawa,moyen
Quel est le plus petit nombre premier impair ?,3,moyen
Quelle est la langue officielle du Brésil ?,portugais,moyen
Quel astre est au centre du système solaire ?,soleil,moyen
Quelle est l'unité de mesure de la fréquence ?,hertz,moyen
Quelle est la capitale de l'Australie ?,canberra,moyen
Quel est le plus grand désert chaud du monde ?,sahara,moyen
Quelle planète possède des anneaux ?,saturne,moyen
Quelle planète est surnommée la planète rouge ?,mars,moyen
Combien de côtés a un décagone ?,10,moyen
Quel gaz sert à gonfler les ballons qui s'envolent tout seul ?,helium,moyen
Quelle est la capitale de l'Allemagne ?,berlin,moyen
Quel est le plus grand océan après le Pacifique ?,atlantique,moyen
Combien y a-t-il de notes dans une gamme musicale ?,7,moyen
Quel théorème concerne les triangles rectangles ?,pythagore,moyen
Combien de semaines y a-t-il dans une année ?,52,moyen
Quel est le périmètre d'un carré de côté 5 ?,20,moyen
Quel est le résultat de 2 puissance 5 ?,32,moyen
Quel est le résultat de 9 puissance 3 ?,729,difficile
Quel est le nom du vent chaud du Sahara ?,sirocco,difficile
Quelle est la racine carrée de 169 ?,13,difficile
Quel est le résultat de 7 puissance 3 ?,343,difficile
Quel est le symbole chimique du potassium ?,k,difficile
Quelle est la valeur de pi arrondie à trois décimales ?,3.142,difficile
Combien de diagonales a un carré ?,2,difficile
Quelle est la planète la plus dense ?,terre,difficile
Quel est le résultat de 12 puissance 3 ?,1728,difficile
Combien de chromosomes a l'être humain ?,46,difficile
Quelle est la planète la plus massive du système solaire ?,jupiter,difficile
Quel élément chimique a pour symbole Na ?,sodium,difficile
Quel est le symbole chimique de l'or ?,au,difficile
Quel est le plus long fleuve du monde ?,nil,difficile
Quel est le plus grand organe du corps humain ?,peau,difficile
Quel est le résultat de 8 x 12 - 16 ?,80,difficile
Combien de minutes y a-t-il dans une journée ?,1440,difficile
Quelle est la racine carrée de 196 ?,14,difficile
Combien de faces a une pyramide à base carrée ?,5,difficile
Quelle est la somme des angles d'un triangle ?,180,difficile
Quel est le symbole chimique du chlore ?,cl,difficile
Quelle est la capitale du Portugal ?,lisbonne,difficile
Combien de diagonales a un rectangle ?,2,difficile
Quel est le résultat de 100 - 4 puissance 2 ?,84,difficile
Quelle est la planète la plus éloignée du Soleil ?,neptune,difficile
Combien de faces a un prisme triangulaire ?,5,difficile
Quel est le symbole chimique de l'argent ?,ag,difficile
Quel est le résultat de 2 puissance 8 ?,256,difficile
